,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
159,799.0,159.8,182,36.4,3.3446153616116956e-16,6.0815,3.182642335263185e-11,0.0316517890198533,34.8709840074705
160,4242.0,471.3333333333333,581,64.55555555555556,3.4232052415920904e-22,8.1789,3.394721308274389e-13,0.07352528875201045,41.42177209313758
161,4924.0,615.5,511,63.875,2.1604780984283604e-18,7.2269,3.125825696176918e-11,0.0890218213862963,34.896971711447804
162,3363.0,420.375,627,78.375,2.602194524066477e-20,7.5976,9.858089565671347e-13,0.06300561802856804,39.883757144861434
163,1824.0,364.8,312,62.4,2.5094984299136917e-13,5.9316,3.38219410787809e-09,0.061643246629072355,28.139393393990847
164,6046.0,863.7142857142857,727,103.85714285714286,4.3330471423978204e-16,6.7871,5.73446509236122e-10,0.09400823074934285,30.69962203012842
165,4045.0,577.8571428571429,734,104.85714285714286,2.8464806385552147e-17,6.6897,4.371495742826213e-10,0.0912157863935271,31.091153954835608
166,1615.0,269.1666666666667,282,47.0,4.360406556025109e-16,6.683,1.3632854110839337e-10,0.058455226602861524,32.77219331919551
167,3240.0,540.0,1064,177.33333333333334,2.7752810760073466e-14,6.2011,2.800848188771145e-08,0.11373946895977745,25.08956097034642
168,1242.0,248.4,469,93.8,1.453048370465638e-14,6.261,1.0241141661858397e-09,0.051971356609953834,29.862976300944048
169,2136.0,356.0,374,62.333333333333336,3.7529654456121203e-16,6.4913,2.6507806925136243e-11,0.04763451248930973,35.134791727350915
170,1727.0,287.8333333333333,453,75.5,1.0171645698762809e-15,6.6709,5.979309625705784e-11,0.05273286657744324,33.96123012406465
171,851.0,212.75,257,64.25,1.463267196458738e-11,5.7958,4.750312065838018e-08,0.060180208791750366,24.32740246648722
172,2352.0,261.3333333333333,642,71.33333333333333,1.622955095582693e-24,8.3541,3.449972155392699e-14,0.05972622329816586,44.720408610427626
173,1503.0,501.0,176,58.666666666666664,9.96849878773523e-08,5.6086,4.1537088230287507e-07,0.05292821038265222,21.199096578095414
174,2898.0,579.6,707,141.4,4.204969082381053e-12,5.7223,6.191217904564046e-09,0.06720422609255083,27.267129617076105
175,2659.0,443.1666666666667,852,142.0,7.711008618784026e-16,6.4547,3.962372105392124e-10,0.06679506967409464,31.232916579146956
176,4012.0,573.1428571428571,892,127.42857142857143,1.2237366285128966e-16,6.5916,3.945128362600104e-10,0.09018159335218165,31.23920870691782
177,2373.0,474.6,369,73.8,7.350276122875075e-13,5.9173,4.025869308134705e-09,0.06319667642274154,27.888052515201014
178,4433.0,738.8333333333334,722,120.33333333333333,1.8672377964565977e-13,6.328,1.1876538193273918e-08,0.10217302079880664,26.32731038248938
179,828.0,207.0,244,61.0,6.678183873547529e-12,6.1538,3.235376927672764e-08,0.05644872634281509,24.88149096032574
180,1272.0,424.0,328,109.33333333333333,1.7825881289612316e-08,5.6379,1.8769174603392279e-07,0.045153252064179944,22.345131456865108
181,1574.0,314.8,523,104.6,4.304675122465786e-13,5.7934,1.2124686304544216e-08,0.07397684192247532,26.297477337385352
182,2076.0,296.57142857142856,477,68.14285714285714,3.247706000407072e-19,7.3865,2.9737039220379514e-12,0.05239083290134728,38.29087612658806
183,2793.0,558.6,872,174.4,4.3866788932122555e-12,5.826,2.4426162759827234e-08,0.08176185752481042,25.28699751858759
184,3533.0,392.55555555555554,361,40.111111111111114,3.265517284227442e-23,8.4285,1.021827608432592e-13,0.06592260038690034,43.15391341244403
185,3272.0,654.4,588,117.6,2.5069919451486123e-12,6.0512,1.7047407458470642e-07,0.10791803992191601,22.48394431095614
186,1033.0,258.25,447,111.75,1.5474648872709687e-11,5.8885,1.5791778276254537e-08,0.05008855538402787,25.916251120143933
187,581.0,193.66666666666666,110,36.666666666666664,6.437376047304383e-09,5.6873,2.1624638476067225e-07,0.046450433468476125,22.140820650451527
188,1791.0,255.85714285714286,400,57.142857142857146,4.430086627216119e-19,7.015,1.5225444573844e-11,0.06281499526950986,35.93472468918498
189,2253.0,563.25,245,61.25,3.574343617224623e-10,5.8453,7.573033682863047e-08,0.06504466002691331,23.654553413646447
190,180.0,90.0,59,29.5,4.929024771852607e-07,6.0758,6.120530793008845e-07,0.027970309488097193,20.639839890503502
191,4345.0,724.1666666666666,1069,178.16666666666666,1.766471710155696e-13,6.1761,9.106332369319192e-09,0.09883663186482727,26.710482737170583
192,3333.0,555.5,1075,179.16666666666666,1.0772173618802546e-14,6.4054,4.745635855042488e-09,0.09110386487586948,27.650751450942725
193,4960.0,551.1111111111111,813,90.33333333333333,8.5464739880506e-21,7.9951,2.4848877384238794e-12,0.08811054518674538,38.549956463069066
194,1875.0,312.5,462,77.0,2.4596267492247363e-16,6.2882,5.2041789438758085e-11,0.05182556287593707,34.161538474287184
195,2934.0,586.8,729,145.8,1.173982705601905e-11,5.7826,3.070291954955789e-08,0.08447728613117696,24.957048910689068
196,5020.0,717.1428571428571,1096,156.57142857142858,3.001012210356108e-16,6.9128,2.082084120480777e-09,0.10848974711552072,28.839324496324522
197,2514.0,419.0,415,69.16666666666667,5.98050581055246e-15,6.1832,1.4758889075980301e-09,0.07872845134525575,29.335768722350302
